entity_id,entity_name,country,profit_before_tax,total_tax_expense,statutory_tax_rate,total_etr,risk_score,risk_rating,triggered_controls,next_action,reviewer_comment
NL001,Dutch Holding BV,Netherlands,1200000,320000,0.258,0.26666666666666666,0,Low,No controls triggered,No immediate action required,"Dutch Holding BV in Netherlands has been classified as LOW risk. The total ETR is 26.7%, compared with a statutory tax rate of 25.8%. No significant ETR or Pillar Two risk indicators were identified based on the current control logic. No immediate action is required, but the entity should remain subject to standard periodic review."
IE001,Irish IP Ltd,Ireland,3000000,150000,0.125,0.05,40,Medium,ETR-002: Pillar Two relevant entity has total ETR below 15%; ETR-008: Reviewer is not assigned,Perform Pillar Two top-up tax risk review; Assign tax reviewer,"Irish IP Ltd in Ireland has been classified as MEDIUM risk. The total ETR is 5.0%, compared with a statutory tax rate of 12.5%. The triggered controls indicate that the entity requires tax review, but the issue may be explainable through timing differences, deferred tax, local tax attributes, or data-quality matters. Recommended next action: Perform Pillar Two top-up tax risk review; Assign tax reviewer."
BR001,Brazil Services Ltd,Brazil,600000,180000,0.34,0.3,0,Low,No controls triggered,No immediate action required,"Brazil Services Ltd in Brazil has been classified as LOW risk. The total ETR is 30.0%, compared with a statutory tax rate of 34.0%. No significant ETR or Pillar Two risk indicators were identified based on the current control logic. No immediate action is required, but the entity should remain subject to standard periodic review."
MX001,Mexico Distribution SA,Mexico,900000,0,0.3,0.0,120,High,ETR-001: Profit before tax exists but total tax expense is zero; ETR-002: Pillar Two relevant entity has total ETR below 15%; ETR-003: Profit before tax exists but current tax expense is zero; ETR-005: Covered taxes flag is missing or marked No; ETR-008: Reviewer is not assigned; ETR-009: High-risk entity remains pending review,Reconcile tax expense and confirm whether tax provision is missing; Perform Pillar Two top-up tax risk review; Validate current tax calculation and local tax return position; Confirm whether taxes qualify as covered taxes; Assign tax reviewer; Prioritize review before reporting deadline,"Mexico Distribution SA in Mexico has been classified as HIGH risk. The entity shows a total ETR of 0.0%, compared with a statutory tax rate of 30.0%. The following controls were triggered: ETR-001: Profit before tax exists but total tax expense is zero; ETR-002: Pillar Two relevant entity has total ETR below 15%; ETR-003: Profit before tax exists but current tax expense is zero; ETR-005: Covered taxes flag is missing or marked No; ETR-008: Reviewer is not assigned; ETR-009: High-risk entity remains pending review. Because the entity is marked as Pillar Two relevant, the tax team should assess whether the low ETR or data-quality issue could affect top-up tax exposure, covered taxes, or reporting positions. Recommended next action: Reconcile tax expense and confirm whether tax provision is missing; Perform Pillar Two top-up tax risk review; Validate current tax calculation and local tax return position; Confirm whether taxes qualify as covered taxes; Assign tax reviewer; Prioritize review before reporting deadline."
AE001,UAE Regional Hub,UAE,2500000,200000,0.09,0.08,40,Medium,ETR-002: Pillar Two relevant entity has total ETR below 15%; ETR-008: Reviewer is not assigned,Perform Pillar Two top-up tax risk review; Assign tax reviewer,"UAE Regional Hub in UAE has been classified as MEDIUM risk. The total ETR is 8.0%, compared with a statutory tax rate of 9.0%. The triggered controls indicate that the entity requires tax review, but the issue may be explainable through timing differences, deferred tax, local tax attributes, or data-quality matters. Recommended next action: Perform Pillar Two top-up tax risk review; Assign tax reviewer."
US001,US Parent Inc,United States,4000000,900000,0.21,0.225,0,Low,No controls triggered,No immediate action required,"US Parent Inc in United States has been classified as LOW risk. The total ETR is 22.5%, compared with a statutory tax rate of 21.0%. No significant ETR or Pillar Two risk indicators were identified based on the current control logic. No immediate action is required, but the entity should remain subject to standard periodic review."
LU001,Lux Finance SARL,Luxembourg,1000000,80000,0.2494,0.08,40,Medium,ETR-002: Pillar Two relevant entity has total ETR below 15%; ETR-008: Reviewer is not assigned,Perform Pillar Two top-up tax risk review; Assign tax reviewer,"Lux Finance SARL in Luxembourg has been classified as MEDIUM risk. The total ETR is 8.0%, compared with a statutory tax rate of 24.9%. The triggered controls indicate that the entity requires tax review, but the issue may be explainable through timing differences, deferred tax, local tax attributes, or data-quality matters. Recommended next action: Perform Pillar Two top-up tax risk review; Assign tax reviewer."
SG001,Singapore Procurement Pte,Singapore,1100000,190000,0.17,0.17272727272727273,0,Low,No controls triggered,No immediate action required,"Singapore Procurement Pte in Singapore has been classified as LOW risk. The total ETR is 17.3%, compared with a statutory tax rate of 17.0%. No significant ETR or Pillar Two risk indicators were identified based on the current control logic. No immediate action is required, but the entity should remain subject to standard periodic review."
DE001,Germany Manufacturing GmbH,Germany,1500000,470000,0.3,0.31333333333333335,0,Low,No controls triggered,No immediate action required,"Germany Manufacturing GmbH in Germany has been classified as LOW risk. The total ETR is 31.3%, compared with a statutory tax rate of 30.0%. No significant ETR or Pillar Two risk indicators were identified based on the current control logic. No immediate action is required, but the entity should remain subject to standard periodic review."
FR001,France Sales SAS,France,-200000,50000,0.25,-0.25,25,Medium,ETR-007: Loss entity has tax expense; ETR-008: Reviewer is not assigned,"Review deferred tax, withholding tax, or non-deductible expense drivers; Assign tax reviewer","France Sales SAS in France has been classified as MEDIUM risk. The total ETR is -25.0%, compared with a statutory tax rate of 25.0%. The triggered controls indicate that the entity requires tax review, but the issue may be explainable through timing differences, deferred tax, local tax attributes, or data-quality matters. Recommended next action: Review deferred tax, withholding tax, or non-deductible expense drivers; Assign tax reviewer."
